tweet,link,positive_label,negative_label,,creative_label
"U know what I wish there was? Mouthwash samples so I know whether or not I can commit to the taste of a whole bottle. 

#itsTheSmallThings",https://twitter.com/TheAmyDance/status/717055530959839232,friends,friends,,
"Fellow gluten-free people: how vital is it for your non-face moisturizers to be gluten-free, in your experience?",https://twitter.com/Aleen/status/717054507905986560,friends,family,,gluten-free people
I’ve muted a thread in Gmail but it keeps coming back to my inbox (Phabricator emails). Any idea what’s going on?,https://twitter.com/jasonbrennan/status/717000893799997440,coworkers,family,,
DID REALLY WELL IN MY ALGO EXAMMMM!!!!!!!!! WOOHOOOOO!!!!!!!!!!,https://twitter.com/TheAmyDance/status/717083831006797825,friends,specific internet community,,
Inspiring collection of stories http://www.techiesproject.com/  I'd love to see this for techies outside of SV for some geographic diversity.,https://twitter.com/auditty/status/717076148841279488,friends,friends,,techies
"TONIGHT: @SyracuseSPJ hosts ""Perspectives on Political Reporting"" panel at 6:45 in N3 141 with @CortRuddy, @leximccammond + @colleendeacon",https://twitter.com/ellenkmeyers/status/717064623434936320,family,general internet community,,
"""I was really comfy, and I had grown as much as I could, so I took a leap"" @cassidoo on career decisions #ABIdotNYC #WomenInTech",https://twitter.com/abidotlocal/status/717022092231884801,coworkers,coworkers,,
Sitting with a book and a fire in Piedmont. Cant really think of a better way to relax. #f52life… https://www.instagram.com/p/BDyQOE5S55I/ ,https://twitter.com/gothmog/status/717027508424544256,friends,family,,
Legends of Tomorrow is like someone decided that Inspector Spacetime from Community was a great idea for a show but never saw Doctor Who.,https://twitter.com/dwiskus/status/716846224008208384,friends,general internet community,,
"This is definitely going to be a great time. 3 @tumblr engineers, so much Swift.",https://twitter.com/mb/status/717011022079508480,friends,family,,
"U know what I wish there was? Mouthwash samples so I know whether or not I can commit to the taste of a whole bottle. 

#itsTheSmallThings",https://twitter.com/TheAmyDance/status/717055530959839232,friends,friends,,siblings
"Fellow gluten-free people: how vital is it for your non-face moisturizers to be gluten-free, in your experience?",https://twitter.com/Aleen/status/717054507905986560,friends,family,,
I’ve muted a thread in Gmail but it keeps coming back to my inbox (Phabricator emails). Any idea what’s going on?,https://twitter.com/jasonbrennan/status/717000893799997440,general internet community,family,,gmail
